Date,Open,High,Low,Close,Adj Close,Volume
2012-10-31,26300.000000,26950.000000,25600.000000,26350.000000,23248.513672,33595500
2012-11-30,26200.000000,26400.000000,20100.000000,21200.000000,18704.687500,129867003
2012-12-31,21200.000000,23000.000000,20900.000000,22050.000000,19682.181641,53457000
2013-01-31,21950.000000,23300.000000,21650.000000,22850.000000,20396.273438,42890000
2013-02-28,22750.000000,23100.000000,21700.000000,22800.000000,20351.638672,16294040
2013-03-31,22400.000000,26250.000000,22150.000000,26250.000000,23431.164063,1390080
2013-04-30,25000.000000,34500.000000,24800.000000,30500.000000,27224.783203,2136582
2013-05-31,30000.000000,31550.000000,25550.000000,30750.000000,27447.935547,73
2013-06-30,26000.000000,34600.000000,26000.000000,31800.000000,28385.183594,38952503
2013-07-31,32000.000000,32350.000000,26600.000000,31200.000000,28155.433594,34271000
2013-08-31,31200.000000,33300.000000,30100.000000,30150.000000,27207.896484,41909000
2013-09-30,30150.000000,37350.000000,29600.000000,30000.000000,27072.533203,48075000
2013-10-31,29800.000000,30800.000000,25700.000000,26600.000000,24004.310547,45790500
2013-11-30,26600.000000,27300.000000,25100.000000,26000.000000,23462.863281,34667500
2013-12-31,26000.000000,28775.000000,25800.000000,28550.000000,26082.222656,43910000
2014-01-31,28400.000000,28650.000000,27525.000000,28575.000000,26105.058594,32177600
2014-02-28,28100.000000,31350.000000,27525.000000,29250.000000,26721.712891,44121900
2014-03-31,29500.000000,30975.000000,28500.000000,29250.000000,26721.712891,34284100
2014-04-30,29250.000000,30850.000000,28800.000000,29125.000000,26607.517578,28825400
2014-05-31,29750.000000,30550.000000,29200.000000,29275.000000,26744.552734,32922100
2014-06-30,29750.000000,33000.000000,29250.000000,30750.000000,28446.203125,37649400
2014-07-31,30750.000000,32100.000000,29500.000000,31025.000000,28700.601563,21865300
2014-08-31,32000.000000,32100.000000,31025.000000,31800.000000,29417.539063,20860300
2014-09-30,31800.000000,32200.000000,29625.000000,30400.000000,28122.427734,39162000
2014-10-31,30450.000000,32000.000000,29700.000000,31800.000000,29417.539063,25252300
2014-11-30,31800.000000,32300.000000,30525.000000,32300.000000,29880.078125,29805700
2014-12-31,32300.000000,36275.000000,32100.000000,35825.000000,33500.894531,35168500
2015-01-31,36000.000000,37000.000000,34850.000000,36000.000000,33664.542969,26702100
2015-02-28,36000.000000,40500.000000,35750.000000,39650.000000,37077.750000,41200900
2015-03-31,39200.000000,44500.000000,37675.000000,42600.000000,39836.371094,45423100
2015-04-30,42600.000000,46000.000000,42150.000000,43300.000000,40490.964844,36096400
2015-05-31,43500.000000,43700.000000,39300.000000,39500.000000,36937.484375,37920200
2015-06-30,39900.000000,41375.000000,38100.000000,40000.000000,37795.195313,29455800
2015-07-31,39250.000000,40400.000000,33000.000000,39725.000000,37535.351563,37866100
2015-08-31,39475.000000,40250.000000,35350.000000,38000.000000,35905.433594,30511900
2015-09-30,38000.000000,40000.000000,37000.000000,37000.000000,34960.558594,32909700
2015-10-31,37000.000000,38500.000000,34500.000000,36750.000000,34724.335938,29180700
2015-11-30,37650.000000,37825.000000,34150.000000,37000.000000,34960.558594,33759500
2015-12-31,37000.000000,37500.000000,35300.000000,36700.000000,34997.113281,42792600
2016-01-31,36700.000000,46175.000000,36050.000000,44525.000000,42459.035156,48042200
2016-02-29,44525.000000,47800.000000,41975.000000,42925.000000,40933.273438,49512500
2016-03-31,43000.000000,47300.000000,42200.000000,42575.000000,40599.515625,29846000
2016-04-30,42600.000000,45150.000000,42350.000000,43100.000000,41100.156250,25117300
2016-05-31,43100.000000,45600.000000,42800.000000,45075.000000,42983.519531,32832700
2016-06-30,45100.000000,47800.000000,43625.000000,45050.000000,43379.605469,35987100
2016-07-31,45950.000000,46950.000000,44600.000000,45650.000000,43957.355469,44380100
2016-08-31,45100.000000,46000.000000,44000.000000,44550.000000,42898.148438,37665300
2016-09-30,44550.000000,45325.000000,44100.000000,44475.000000,42825.933594,37560800
2016-10-31,44550.000000,44550.000000,39600.000000,40525.000000,39022.386719,45278800
2016-11-30,40900.000000,42425.000000,37825.000000,38800.000000,37361.351563,46943300
2016-12-31,38800.000000,42000.000000,38800.000000,41200.000000,40027.847656,36615400
2017-01-31,41725.000000,42900.000000,41100.000000,42175.000000,40975.105469,25966700
2017-02-28,42100.000000,44200.000000,41825.000000,43325.000000,42092.386719,32379000
2017-03-31,43400.000000,45800.000000,43400.000000,44500.000000,43233.960938,24446300
2017-04-30,44500.000000,50025.000000,44500.000000,46175.000000,44861.304688,49972100
2017-05-31,46175.000000,49500.000000,46175.000000,48800.000000,47411.621094,18962800
2017-06-30,49500.000000,49550.000000,46525.000000,48950.000000,47557.355469,33837300
2017-07-31,49100.000000,51000.000000,46925.000000,50550.000000,49582.101563,37586500
2017-08-31,50550.000000,51750.000000,48975.000000,48975.000000,48037.257813,31178200
2017-09-30,49200.000000,51175.000000,48550.000000,49600.000000,48650.289063,39821300
2017-10-31,49250.000000,51000.000000,48925.000000,49300.000000,48356.031250,45127600
2017-11-30,49300.000000,55975.000000,49075.000000,55900.000000,55280.933594,41768400
2017-12-31,55900.000000,58100.000000,52500.000000,54400.000000,53797.542969,45715900
